step=6000, loss=0.001601, loss_cross=0.000132, loss_adv_spatial=0.000725, loss_adv_temporal=0.000745
step=6100, loss=0.001569, loss_cross=0.000150, loss_adv_spatial=0.000715, loss_adv_temporal=0.000704
step=6200, loss=0.001531, loss_cross=0.000135, loss_adv_spatial=0.000703, loss_adv_temporal=0.000694
step=6300, loss=0.001542, loss_cross=0.000138, loss_adv_spatial=0.000699, loss_adv_temporal=0.000704
step=6400, loss=0.001543, loss_cross=0.000127, loss_adv_spatial=0.000699, loss_adv_temporal=0.000717
step=6500, loss=0.001554, loss_cross=0.000147, loss_adv_spatial=0.000700, loss_adv_temporal=0.000707
step=6600, loss=0.001622, loss_cross=0.000177, loss_adv_spatial=0.000720, loss_adv_temporal=0.000725
step=6700, loss=0.001572, loss_cross=0.000152, loss_adv_spatial=0.000717, loss_adv_temporal=0.000703
step=6800, loss=0.001612, loss_cross=0.000175, loss_adv_spatial=0.000726, loss_adv_temporal=0.000712
step=6900, loss=0.001551, loss_cross=0.000154, loss_adv_spatial=0.000703, loss_adv_temporal=0.000694
step=7000, loss=0.001555, loss_cross=0.000137, loss_adv_spatial=0.000714, loss_adv_temporal=0.000704
step=7100, loss=0.001623, loss_cross=0.000159, loss_adv_spatial=0.000741, loss_adv_temporal=0.000724
step=7200, loss=0.001588, loss_cross=0.000175, loss_adv_spatial=0.000718, loss_adv_temporal=0.000695
step=7300, loss=0.001560, loss_cross=0.000149, loss_adv_spatial=0.000714, loss_adv_temporal=0.000696
step=7400, loss=0.001598, loss_cross=0.000169, loss_adv_spatial=0.000714, loss_adv_temporal=0.000714
step=7500, loss=0.001596, loss_cross=0.000163, loss_adv_spatial=0.000725, loss_adv_temporal=0.000708
step=7600, loss=0.001620, loss_cross=0.000198, loss_adv_spatial=0.000717, loss_adv_temporal=0.000705
step=7700, loss=0.001701, loss_cross=0.000196, loss_adv_spatial=0.000773, loss_adv_temporal=0.000731
step=7800, loss=0.001605, loss_cross=0.000183, loss_adv_spatial=0.000716, loss_adv_temporal=0.000706
step=7900, loss=0.001621, loss_cross=0.000189, loss_adv_spatial=0.000712, loss_adv_temporal=0.000721
step=8000, loss=0.001603, loss_cross=0.000177, loss_adv_spatial=0.000704, loss_adv_temporal=0.000721
step=8100, loss=0.001716, loss_cross=0.000229, loss_adv_spatial=0.000735, loss_adv_temporal=0.000751
step=8200, loss=0.001634, loss_cross=0.000198, loss_adv_spatial=0.000722, loss_adv_temporal=0.000715
step=8300, loss=0.001632, loss_cross=0.000171, loss_adv_spatial=0.000721, loss_adv_temporal=0.000739
step=8400, loss=0.001606, loss_cross=0.000178, loss_adv_spatial=0.000729, loss_adv_temporal=0.000699
step=8500, loss=0.001678, loss_cross=0.000212, loss_adv_spatial=0.000730, loss_adv_temporal=0.000736
step=8600, loss=0.001700, loss_cross=0.000208, loss_adv_spatial=0.000733, loss_adv_temporal=0.000759
step=8700, loss=0.001685, loss_cross=0.000207, loss_adv_spatial=0.000742, loss_adv_temporal=0.000736
step=8800, loss=0.001609, loss_cross=0.000205, loss_adv_spatial=0.000707, loss_adv_temporal=0.000697
step=8900, loss=0.001597, loss_cross=0.000187, loss_adv_spatial=0.000710, loss_adv_temporal=0.000700
step=9000, loss=0.001665, loss_cross=0.000221, loss_adv_spatial=0.000714, loss_adv_temporal=0.000730
step=9100, loss=0.001636, loss_cross=0.000194, loss_adv_spatial=0.000718, loss_adv_temporal=0.000724
step=9200, loss=0.001694, loss_cross=0.000236, loss_adv_spatial=0.000718, loss_adv_temporal=0.000740
step=9300, loss=0.001660, loss_cross=0.000229, loss_adv_spatial=0.000707, loss_adv_temporal=0.000725
step=9400, loss=0.001706, loss_cross=0.000247, loss_adv_spatial=0.000719, loss_adv_temporal=0.000741
step=9500, loss=0.001634, loss_cross=0.000227, loss_adv_spatial=0.000712, loss_adv_temporal=0.000694
step=9600, loss=0.001649, loss_cross=0.000223, loss_adv_spatial=0.000714, loss_adv_temporal=0.000712
