step=100, loss=0.001766, loss_cross=0.000367, loss_adv_spatial=0.000706, loss_adv_temporal=0.000693
step=200, loss=0.001548, loss_cross=0.000140, loss_adv_spatial=0.000716, loss_adv_temporal=0.000693
step=300, loss=0.001507, loss_cross=0.000095, loss_adv_spatial=0.000717, loss_adv_temporal=0.000694
step=400, loss=0.001534, loss_cross=0.000098, loss_adv_spatial=0.000732, loss_adv_temporal=0.000704
step=500, loss=0.001561, loss_cross=0.000102, loss_adv_spatial=0.000762, loss_adv_temporal=0.000697
step=600, loss=0.001584, loss_cross=0.000093, loss_adv_spatial=0.000777, loss_adv_temporal=0.000714
step=700, loss=0.001549, loss_cross=0.000091, loss_adv_spatial=0.000755, loss_adv_temporal=0.000702
step=800, loss=0.001562, loss_cross=0.000079, loss_adv_spatial=0.000770, loss_adv_temporal=0.000712
step=900, loss=0.001574, loss_cross=0.000105, loss_adv_spatial=0.000754, loss_adv_temporal=0.000716
step=1000, loss=0.001609, loss_cross=0.000107, loss_adv_spatial=0.000790, loss_adv_temporal=0.000713
step=1100, loss=0.001585, loss_cross=0.000095, loss_adv_spatial=0.000765, loss_adv_temporal=0.000725
step=1200, loss=0.001639, loss_cross=0.000114, loss_adv_spatial=0.000796, loss_adv_temporal=0.000730
step=1300, loss=0.001610, loss_cross=0.000110, loss_adv_spatial=0.000772, loss_adv_temporal=0.000728
step=1400, loss=0.001698, loss_cross=0.000133, loss_adv_spatial=0.000797, loss_adv_temporal=0.000768
step=1500, loss=0.001687, loss_cross=0.000096, loss_adv_spatial=0.000808, loss_adv_temporal=0.000784
step=1600, loss=0.001732, loss_cross=0.000119, loss_adv_spatial=0.000840, loss_adv_temporal=0.000773
step=1700, loss=0.001760, loss_cross=0.000113, loss_adv_spatial=0.000853, loss_adv_temporal=0.000794
step=1800, loss=0.001887, loss_cross=0.000138, loss_adv_spatial=0.000893, loss_adv_temporal=0.000856
step=1900, loss=0.001878, loss_cross=0.000121, loss_adv_spatial=0.000917, loss_adv_temporal=0.000840
step=2000, loss=0.001860, loss_cross=0.000138, loss_adv_spatial=0.000902, loss_adv_temporal=0.000821
step=2100, loss=0.001676, loss_cross=0.000139, loss_adv_spatial=0.000797, loss_adv_temporal=0.000739
step=2200, loss=0.001730, loss_cross=0.000121, loss_adv_spatial=0.000837, loss_adv_temporal=0.000772
step=2300, loss=0.001785, loss_cross=0.000121, loss_adv_spatial=0.000841, loss_adv_temporal=0.000823
step=2400, loss=0.001885, loss_cross=0.000148, loss_adv_spatial=0.000907, loss_adv_temporal=0.000830
step=2500, loss=0.001839, loss_cross=0.000136, loss_adv_spatial=0.000895, loss_adv_temporal=0.000808
step=2600, loss=0.001924, loss_cross=0.000126, loss_adv_spatial=0.000889, loss_adv_temporal=0.000910
step=2700, loss=0.001780, loss_cross=0.000133, loss_adv_spatial=0.000823, loss_adv_temporal=0.000824
step=2800, loss=0.002191, loss_cross=0.000158, loss_adv_spatial=0.001119, loss_adv_temporal=0.000915
step=2900, loss=0.001974, loss_cross=0.000179, loss_adv_spatial=0.000944, loss_adv_temporal=0.000852
step=3000, loss=0.002025, loss_cross=0.000146, loss_adv_spatial=0.001003, loss_adv_temporal=0.000875
step=3100, loss=0.001931, loss_cross=0.000144, loss_adv_spatial=0.000949, loss_adv_temporal=0.000839
step=3200, loss=0.001941, loss_cross=0.000172, loss_adv_spatial=0.000934, loss_adv_temporal=0.000836
step=3300, loss=0.001779, loss_cross=0.000172, loss_adv_spatial=0.000821, loss_adv_temporal=0.000785
step=3400, loss=0.001714, loss_cross=0.000142, loss_adv_spatial=0.000805, loss_adv_temporal=0.000766
step=3500, loss=0.002038, loss_cross=0.000176, loss_adv_spatial=0.001019, loss_adv_temporal=0.000843
step=3600, loss=0.001968, loss_cross=0.000163, loss_adv_spatial=0.000924, loss_adv_temporal=0.000882
step=3700, loss=0.001939, loss_cross=0.000182, loss_adv_spatial=0.000925, loss_adv_temporal=0.000832
step=3800, loss=0.001949, loss_cross=0.000158, loss_adv_spatial=0.000935, loss_adv_temporal=0.000856
step=3900, loss=0.001863, loss_cross=0.000159, loss_adv_spatial=0.000888, loss_adv_temporal=0.000816
step=4000, loss=0.001962, loss_cross=0.000171, loss_adv_spatial=0.000931, loss_adv_temporal=0.000860
step=4100, loss=0.002024, loss_cross=0.000190, loss_adv_spatial=0.000916, loss_adv_temporal=0.000919
step=4200, loss=0.002019, loss_cross=0.000215, loss_adv_spatial=0.000949, loss_adv_temporal=0.000855
step=4300, loss=0.002026, loss_cross=0.000241, loss_adv_spatial=0.000939, loss_adv_temporal=0.000845
step=4400, loss=0.002059, loss_cross=0.000205, loss_adv_spatial=0.000931, loss_adv_temporal=0.000923
step=4500, loss=0.002012, loss_cross=0.000203, loss_adv_spatial=0.000963, loss_adv_temporal=0.000846
step=4600, loss=0.001913, loss_cross=0.000224, loss_adv_spatial=0.000865, loss_adv_temporal=0.000824
step=4700, loss=0.001922, loss_cross=0.000213, loss_adv_spatial=0.000892, loss_adv_temporal=0.000817
step=4800, loss=0.002001, loss_cross=0.000218, loss_adv_spatial=0.000943, loss_adv_temporal=0.000840
step=4900, loss=0.001910, loss_cross=0.000205, loss_adv_spatial=0.000896, loss_adv_temporal=0.000810
step=5000, loss=0.001828, loss_cross=0.000182, loss_adv_spatial=0.000834, loss_adv_temporal=0.000812
step=5100, loss=0.002079, loss_cross=0.000230, loss_adv_spatial=0.000953, loss_adv_temporal=0.000897
step=5200, loss=0.002133, loss_cross=0.000237, loss_adv_spatial=0.001014, loss_adv_temporal=0.000883
step=5300, loss=0.002153, loss_cross=0.000252, loss_adv_spatial=0.001025, loss_adv_temporal=0.000875
step=5400, loss=0.002035, loss_cross=0.000226, loss_adv_spatial=0.000953, loss_adv_temporal=0.000857
step=5500, loss=0.002043, loss_cross=0.000265, loss_adv_spatial=0.000942, loss_adv_temporal=0.000836
step=5600, loss=0.002165, loss_cross=0.000301, loss_adv_spatial=0.000987, loss_adv_temporal=0.000877
step=5700, loss=0.002003, loss_cross=0.000271, loss_adv_spatial=0.000901, loss_adv_temporal=0.000831
step=5800, loss=0.002119, loss_cross=0.000277, loss_adv_spatial=0.000941, loss_adv_temporal=0.000900
step=5900, loss=0.002087, loss_cross=0.000258, loss_adv_spatial=0.000955, loss_adv_temporal=0.000874
step=6000, loss=0.001994, loss_cross=0.000259, loss_adv_spatial=0.000881, loss_adv_temporal=0.000854
step=6100, loss=0.002180, loss_cross=0.000264, loss_adv_spatial=0.001037, loss_adv_temporal=0.000879
step=6200, loss=0.002167, loss_cross=0.000290, loss_adv_spatial=0.000981, loss_adv_temporal=0.000896
step=6300, loss=0.002234, loss_cross=0.000320, loss_adv_spatial=0.001038, loss_adv_temporal=0.000876
step=6400, loss=0.002105, loss_cross=0.000279, loss_adv_spatial=0.000946, loss_adv_temporal=0.000881
step=6500, loss=0.002100, loss_cross=0.000283, loss_adv_spatial=0.000957, loss_adv_temporal=0.000860
step=6600, loss=0.002059, loss_cross=0.000273, loss_adv_spatial=0.000916, loss_adv_temporal=0.000869
