step=100, loss=0.837343, loss_cpred=0.282843, loss_apred=0.274240, loss_diff=0.280259
step=200, loss=0.366022, loss_cpred=0.132465, loss_apred=0.128996, loss_diff=0.104561
step=300, loss=0.287110, loss_cpred=0.103244, loss_apred=0.102271, loss_diff=0.081595
step=400, loss=0.277974, loss_cpred=0.101894, loss_apred=0.097311, loss_diff=0.078768
step=500, loss=0.298807, loss_cpred=0.109349, loss_apred=0.101775, loss_diff=0.087684
step=600, loss=0.237076, loss_cpred=0.084508, loss_apred=0.077810, loss_diff=0.074758
step=700, loss=0.287598, loss_cpred=0.108034, loss_apred=0.097766, loss_diff=0.081798
step=800, loss=0.217829, loss_cpred=0.077545, loss_apred=0.073979, loss_diff=0.066305
step=900, loss=0.219983, loss_cpred=0.078905, loss_apred=0.072914, loss_diff=0.068163
step=1000, loss=0.208567, loss_cpred=0.072494, loss_apred=0.070985, loss_diff=0.065088
step=1100, loss=0.176198, loss_cpred=0.062759, loss_apred=0.057439, loss_diff=0.056000
step=1200, loss=0.161366, loss_cpred=0.051860, loss_apred=0.052833, loss_diff=0.056673
step=1300, loss=0.178723, loss_cpred=0.067304, loss_apred=0.057217, loss_diff=0.054202
step=1400, loss=0.185738, loss_cpred=0.063625, loss_apred=0.061240, loss_diff=0.060873
step=1500, loss=0.116080, loss_cpred=0.038770, loss_apred=0.033480, loss_diff=0.043830
step=1600, loss=0.133422, loss_cpred=0.044631, loss_apred=0.041575, loss_diff=0.047216
step=1700, loss=0.122168, loss_cpred=0.040849, loss_apred=0.037242, loss_diff=0.044077
step=1800, loss=0.139195, loss_cpred=0.046905, loss_apred=0.043874, loss_diff=0.048416
step=1900, loss=0.130883, loss_cpred=0.039698, loss_apred=0.041314, loss_diff=0.049870
step=2000, loss=0.147670, loss_cpred=0.047439, loss_apred=0.051032, loss_diff=0.049199
step=2100, loss=0.167042, loss_cpred=0.056190, loss_apred=0.053014, loss_diff=0.057838
step=2200, loss=0.125000, loss_cpred=0.042205, loss_apred=0.036200, loss_diff=0.046595
step=2300, loss=0.141731, loss_cpred=0.047154, loss_apred=0.042358, loss_diff=0.052220
step=2400, loss=0.139815, loss_cpred=0.045984, loss_apred=0.043084, loss_diff=0.050746
step=2500, loss=0.144242, loss_cpred=0.047039, loss_apred=0.042951, loss_diff=0.054252
step=2600, loss=0.111206, loss_cpred=0.034627, loss_apred=0.033409, loss_diff=0.043170
step=2700, loss=0.123907, loss_cpred=0.039419, loss_apred=0.038941, loss_diff=0.045547
step=2800, loss=0.098869, loss_cpred=0.030386, loss_apred=0.027484, loss_diff=0.040998
step=2900, loss=0.124946, loss_cpred=0.040044, loss_apred=0.036810, loss_diff=0.048092
step=3000, loss=0.101233, loss_cpred=0.030499, loss_apred=0.029666, loss_diff=0.041068
step=3100, loss=0.097717, loss_cpred=0.029336, loss_apred=0.028767, loss_diff=0.039614
step=3200, loss=0.122706, loss_cpred=0.035455, loss_apred=0.039679, loss_diff=0.047572
step=3300, loss=0.200323, loss_cpred=0.073995, loss_apred=0.066029, loss_diff=0.060300
step=3400, loss=0.111979, loss_cpred=0.035976, loss_apred=0.031380, loss_diff=0.044624
step=3500, loss=0.092351, loss_cpred=0.027367, loss_apred=0.026216, loss_diff=0.038768
step=3600, loss=0.091593, loss_cpred=0.027221, loss_apred=0.026147, loss_diff=0.038225
step=3700, loss=0.109143, loss_cpred=0.031347, loss_apred=0.033055, loss_diff=0.044741
step=3800, loss=0.092149, loss_cpred=0.027750, loss_apred=0.027234, loss_diff=0.037165
step=3900, loss=0.100173, loss_cpred=0.032912, loss_apred=0.028153, loss_diff=0.039108
step=4000, loss=0.091012, loss_cpred=0.026760, loss_apred=0.026168, loss_diff=0.038085
step=4100, loss=0.094819, loss_cpred=0.030921, loss_apred=0.026396, loss_diff=0.037502
step=4200, loss=0.089926, loss_cpred=0.024654, loss_apred=0.026827, loss_diff=0.038445
step=4300, loss=0.097260, loss_cpred=0.031385, loss_apred=0.025003, loss_diff=0.040873
step=4400, loss=0.096977, loss_cpred=0.028659, loss_apred=0.030090, loss_diff=0.038228
step=4500, loss=0.104590, loss_cpred=0.033178, loss_apred=0.030704, loss_diff=0.040709
step=4600, loss=0.114423, loss_cpred=0.036180, loss_apred=0.035790, loss_diff=0.042453
step=4700, loss=0.094736, loss_cpred=0.028470, loss_apred=0.027043, loss_diff=0.039223
step=4800, loss=0.083691, loss_cpred=0.024125, loss_apred=0.023225, loss_diff=0.036341
step=4900, loss=0.094939, loss_cpred=0.026766, loss_apred=0.028019, loss_diff=0.040154
step=5000, loss=0.096035, loss_cpred=0.028196, loss_apred=0.028394, loss_diff=0.039445
step=5100, loss=0.080567, loss_cpred=0.022180, loss_apred=0.022938, loss_diff=0.035450
step=5200, loss=0.075840, loss_cpred=0.021995, loss_apred=0.020410, loss_diff=0.033434
step=5300, loss=0.093563, loss_cpred=0.027642, loss_apred=0.026867, loss_diff=0.039054
step=5400, loss=0.078597, loss_cpred=0.023976, loss_apred=0.021463, loss_diff=0.033158
step=5500, loss=0.092140, loss_cpred=0.027652, loss_apred=0.025530, loss_diff=0.038958
step=5600, loss=0.085630, loss_cpred=0.025773, loss_apred=0.022840, loss_diff=0.037018
step=5700, loss=0.090426, loss_cpred=0.026729, loss_apred=0.025644, loss_diff=0.038052
step=5800, loss=0.095157, loss_cpred=0.024822, loss_apred=0.029281, loss_diff=0.041054
step=5900, loss=0.087636, loss_cpred=0.026956, loss_apred=0.025367, loss_diff=0.035313
step=6000, loss=0.076375, loss_cpred=0.023297, loss_apred=0.022782, loss_diff=0.030296
step=6100, loss=0.073047, loss_cpred=0.021288, loss_apred=0.019777, loss_diff=0.031982
step=6200, loss=0.081082, loss_cpred=0.021300, loss_apred=0.024911, loss_diff=0.034871
step=6300, loss=0.084053, loss_cpred=0.022991, loss_apred=0.023709, loss_diff=0.037353
step=6400, loss=0.078558, loss_cpred=0.024493, loss_apred=0.023313, loss_diff=0.030753
step=6500, loss=0.083618, loss_cpred=0.023469, loss_apred=0.023082, loss_diff=0.037067
step=6600, loss=0.075326, loss_cpred=0.020463, loss_apred=0.022085, loss_diff=0.032778
step=6700, loss=0.090152, loss_cpred=0.027762, loss_apred=0.024716, loss_diff=0.037673
step=6800, loss=0.078494, loss_cpred=0.022307, loss_apred=0.022308, loss_diff=0.033879
step=6900, loss=0.076470, loss_cpred=0.022002, loss_apred=0.021889, loss_diff=0.032578
step=7000, loss=0.092249, loss_cpred=0.023781, loss_apred=0.029562, loss_diff=0.038906
step=7100, loss=0.087915, loss_cpred=0.029079, loss_apred=0.023486, loss_diff=0.035350
step=7200, loss=0.064392, loss_cpred=0.018801, loss_apred=0.017390, loss_diff=0.028201
step=7300, loss=0.096107, loss_cpred=0.029953, loss_apred=0.025957, loss_diff=0.040197
step=7400, loss=0.092868, loss_cpred=0.026323, loss_apred=0.026072, loss_diff=0.040472
step=7500, loss=0.073724, loss_cpred=0.020552, loss_apred=0.020980, loss_diff=0.032192
step=7600, loss=0.065546, loss_cpred=0.019144, loss_apred=0.018051, loss_diff=0.028351
step=7700, loss=0.067429, loss_cpred=0.018568, loss_apred=0.018856, loss_diff=0.030006
step=7800, loss=0.092461, loss_cpred=0.028408, loss_apred=0.028134, loss_diff=0.035919
step=7900, loss=0.071093, loss_cpred=0.020031, loss_apred=0.019739, loss_diff=0.031323
step=8000, loss=0.074533, loss_cpred=0.022211, loss_apred=0.020729, loss_diff=0.031594
step=8100, loss=0.067210, loss_cpred=0.018663, loss_apred=0.018478, loss_diff=0.030069
step=8200, loss=0.080554, loss_cpred=0.022224, loss_apred=0.022052, loss_diff=0.036278
step=8300, loss=0.071770, loss_cpred=0.022286, loss_apred=0.021462, loss_diff=0.028021
step=8400, loss=0.065893, loss_cpred=0.018668, loss_apred=0.018158, loss_diff=0.029067
step=8500, loss=0.077227, loss_cpred=0.022107, loss_apred=0.021963, loss_diff=0.033158
step=8600, loss=0.086858, loss_cpred=0.024307, loss_apred=0.023415, loss_diff=0.039136
step=8700, loss=0.069912, loss_cpred=0.019863, loss_apred=0.018412, loss_diff=0.031637
step=8800, loss=0.075072, loss_cpred=0.020678, loss_apred=0.021055, loss_diff=0.033339
step=8900, loss=0.063477, loss_cpred=0.018245, loss_apred=0.016883, loss_diff=0.028349
step=9000, loss=0.074190, loss_cpred=0.021596, loss_apred=0.021349, loss_diff=0.031244
step=9100, loss=0.066568, loss_cpred=0.016915, loss_apred=0.019302, loss_diff=0.030351
step=9200, loss=0.069222, loss_cpred=0.019769, loss_apred=0.018026, loss_diff=0.031428
step=9300, loss=0.057941, loss_cpred=0.015837, loss_apred=0.016005, loss_diff=0.026099
step=9400, loss=0.077250, loss_cpred=0.020919, loss_apred=0.022515, loss_diff=0.033817
step=9500, loss=0.086269, loss_cpred=0.025053, loss_apred=0.024154, loss_diff=0.037062
step=9600, loss=0.066487, loss_cpred=0.022310, loss_apred=0.017287, loss_diff=0.026891
step=9700, loss=0.073607, loss_cpred=0.020301, loss_apred=0.021383, loss_diff=0.031923
step=9800, loss=0.070092, loss_cpred=0.019001, loss_apred=0.019184, loss_diff=0.031906
step=9900, loss=0.073845, loss_cpred=0.019586, loss_apred=0.021575, loss_diff=0.032683
step=10000, loss=0.063694, loss_cpred=0.018260, loss_apred=0.016439, loss_diff=0.028995
step=10100, loss=0.058643, loss_cpred=0.017174, loss_apred=0.015302, loss_diff=0.026168
step=10200, loss=0.084407, loss_cpred=0.021676, loss_apred=0.026390, loss_diff=0.036342
step=10300, loss=0.068959, loss_cpred=0.019553, loss_apred=0.020163, loss_diff=0.029243
step=10400, loss=0.083982, loss_cpred=0.023242, loss_apred=0.024990, loss_diff=0.035749
step=10500, loss=0.065217, loss_cpred=0.017970, loss_apred=0.018638, loss_diff=0.028609
step=10600, loss=0.113576, loss_cpred=0.033901, loss_apred=0.034071, loss_diff=0.045604
step=10700, loss=0.058192, loss_cpred=0.016387, loss_apred=0.016065, loss_diff=0.025740
step=10800, loss=0.060637, loss_cpred=0.017539, loss_apred=0.017179, loss_diff=0.025919
step=10900, loss=0.065387, loss_cpred=0.017918, loss_apred=0.018101, loss_diff=0.029368
step=11000, loss=0.080620, loss_cpred=0.025190, loss_apred=0.022394, loss_diff=0.033037
step=11100, loss=0.092149, loss_cpred=0.030479, loss_apred=0.023429, loss_diff=0.038241
step=11200, loss=0.064535, loss_cpred=0.018018, loss_apred=0.018132, loss_diff=0.028386
step=11300, loss=0.070223, loss_cpred=0.019370, loss_apred=0.019479, loss_diff=0.031374
step=11400, loss=0.072323, loss_cpred=0.020478, loss_apred=0.018666, loss_diff=0.033180
step=11500, loss=0.069851, loss_cpred=0.018699, loss_apred=0.020549, loss_diff=0.030602
step=11600, loss=0.073151, loss_cpred=0.019947, loss_apred=0.020845, loss_diff=0.032358
step=11700, loss=0.077361, loss_cpred=0.021038, loss_apred=0.020884, loss_diff=0.035439
step=11800, loss=0.073933, loss_cpred=0.020950, loss_apred=0.020033, loss_diff=0.032950
step=11900, loss=0.068906, loss_cpred=0.020169, loss_apred=0.017152, loss_diff=0.031585
step=12000, loss=0.070637, loss_cpred=0.019607, loss_apred=0.018848, loss_diff=0.032182
step=12100, loss=0.065001, loss_cpred=0.020080, loss_apred=0.015590, loss_diff=0.029332
step=12200, loss=0.080942, loss_cpred=0.024398, loss_apred=0.021905, loss_diff=0.034639
step=12300, loss=0.073081, loss_cpred=0.019640, loss_apred=0.020438, loss_diff=0.033003
step=12400, loss=0.067209, loss_cpred=0.018187, loss_apred=0.018711, loss_diff=0.030311
step=12500, loss=0.076892, loss_cpred=0.026319, loss_apred=0.020066, loss_diff=0.030507
step=12600, loss=0.070108, loss_cpred=0.019059, loss_apred=0.021081, loss_diff=0.029968
step=12700, loss=0.075334, loss_cpred=0.022476, loss_apred=0.019366, loss_diff=0.033491
step=12800, loss=0.072350, loss_cpred=0.021425, loss_apred=0.020001, loss_diff=0.030925
step=12900, loss=0.074965, loss_cpred=0.020807, loss_apred=0.020679, loss_diff=0.033478
step=13000, loss=0.068523, loss_cpred=0.019572, loss_apred=0.020220, loss_diff=0.028731
step=13100, loss=0.070373, loss_cpred=0.018960, loss_apred=0.020007, loss_diff=0.031406
